日付,泊数(1泊),泊数(2泊),泊数(3泊以上),泊数(5泊以上),滞在目的(仕事),滞在目的(視察・フィールドワーク),滞在目的(観光・レジャー),滞在目的(イベント),年代(大人),年代(中高生),年代(小学生),年代(未就学児),移動手段(自家用車),移動手段(レンタカー),移動手段(公共交通機関),移動手段(その他・不明),リピート率
2023-01-01,49%,35%,16%,0%,26%,5%,30%,39%,84%,2%,8%,6%,35%,33%,24%,8%,27%
2023-02-01,59%,37%,4%,0%,21%,22%,51%,6%,,,,,29%,59%,9%,3%,13%
